Country,1960,19601,1970,19701,1980,19801,1990,19901,2000,20001,2012,20121,1965,19651,19751,19751,1985,19851,1995,19951,2005,20051
Brazil,0,0,0,0,0,0,0.004,0.003,13,2.03,125,49,0,0,0,0,0,0,0.8,0.1,46,21
China,0,0,0,0,0,0,0.0015,0,6.71,1.7,81,40,0,0,0,0,0,0,0.29,0.005,30,8.5
Denmark,0,0,0,0,0.14,0,2.88,0.09,62,39,117,93,0,0,0,0,0.9,0,15,3.8,100,82
India,0,0,0,0,0,0,0,0,0.33,0.52,68,12.5,0,0,0,0,0,0,0.008,0.02,14.3,7.9
Japan,0,0,0,0,0.01,0,0.7,0.02,53,29,109,79,0,0,0,0,0.05,0,9.4,1.6,76,67
USA,0,0,0,0,0.03,0,2.08,0.8,39,43,98,81,0,0,0,0,0.14,0,12.6,9.3,68.6,68
Zambia,0,0,0,0,0,0,0,0,0.96,0.2,75.8,13,0,0,0,0,0,0,0.07,0.008,8.3,2.85
