Argentina,Australia,Brazil,China,Germany,France,United Kingdom,Italy,Japan,"Korea, Rep.","Macao SAR, China",Mexico,Norway,United States,Liechtenstein,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Belize,Bermuda,Bolivia,Barbados,Brunei Darussalam,Botswana,Switzerland,Chile,"Congo, Rep.",Colombia,Cuba,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Spain,Fiji,Gabon,Greece,"Hong Kong SAR, China",Honduras,Hungary,Indonesia,India,Ireland,Iceland,Italy,Jamaica,Jordan,Kenya,"Korea, Rep.",Sri Lanka,Luxembourg,Morocco,Madagascar,Malta,Mauritania,Mauritius,Niger,Nigeria,Nicaragua,Nepal,New Zealand,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,Sweden,Swaziland,Seychelles,Togo,Thailand,Tonga,Tunisia,Turkey,Uganda,Ukraine,Uruguay,Uzbekistan,Zambia
37.35352484,44.62354229,22.11829707,49.01571469,80.00421195,48.56506358,58.39840153,48.02455389,25.02483876,95.75569595,143.730646,56.03372231,67.76046979,24.69014212,,95.62698211,49.9258729,144.6709269,40.88820508,40.40503465,45.98002717,107.7250654,,68.62707452,86.01134421,108.571941,85.87886645,89.68872337,66.76844971,120.6234209,34.28000166,32.55018113,91.3814355,52.50011526,71.3243284,52.10484902,56.55344464,49.76444607,107.2026815,87.49411166,49.9893077,374.5829579,96.90500602,150.3233089,45.51212109,45.47695995,164.3548435,97.09414041,48.02455389,86.85243188,114.9583694,61.62815325,95.75569595,49.14914153,292.9616699,68.39602484,80.68359296,157.7877639,104.9966732,107.2759727,67.17797153,61.80285424,78.40511391,47.07944776,55.07476258,32.07184826,148.8519176,43.72584276,65.59038464,78.80572562,63.4625335,48.43506103,39.66367429,84.85834156,36.17768027,65.48720886,366.8501209,87.91624256,41.42586887,89.43482979,134.2474242,139.8684774,89.08873265,126.1573153,77.86224543,94.03888709,47.73824165,58.3893143,94.42477925,55.67398755,71.23494609,67.1764464
7.580636123,2.461211752,5.626726234,10.3331503,0.750572731,1.538682376,0.577304159,1.92270754,1.159490533,2.775761444,0,3.523399986,1.371162449,1.11946068,8,1.363810994,40.53228661,0.672753169,32.38230491,35.64529455,18.72844738,12.78481088,0.769959628,13.82934375,1.620069284,0.908951151,3.268117544,0.860451726,3.5290935,4.505897968,7.466255037,5.046184665,0.992389399,6.214328653,9.533988315,10.50300123,13.68036616,2.375250979,12.73477529,5.360189411,3.094464129,0.067931565,11.67196008,3.371862836,15.29014805,17.73663649,1.123099282,7.306756482,1.92270754,6.437050833,3.052131507,27.17260504,2.775761444,12.6919713,0.305946522,16.38962761,29.11048411,2.048431761,20.91642984,3.791109433,39.2143529,37.05016484,17.5099136,34.03446623,6.584309775,23.90812983,5.0310639,7.304445845,13.08068275,3.651279938,2.29355238,4.685187441,33.91417157,2.854111914,27.02988984,17.27607722,0.042038451,38.94106253,58.19119805,1.580967441,7.878336807,2.256863936,32.91183395,11.46469229,17.5699171,9.061991047,9.347573031,25.08711255,8.256066372,8.407379064,19.50497983,21.61606872
21.41419071,9.062190519,16.65000225,32.30202041,19.51394629,10.58974885,10.30352405,15.8323744,17.76528507,27.80227276,1.468474981,16.63766841,8.060783189,12.35581532,,17.86912919,10.64650014,13.40813473,7.4627591,8.835283283,17.92236822,13.02648473,1.377677314,14.40511279,6.925860581,13.96927886,7.357428385,18.21027659,12.13858788,4.471285856,14.32110157,10.68908642,11.77229261,24.47184836,,13.04653572,15.98320683,12.32472598,13.60716766,,8.859597204,1.789529315,17.93177153,21.75180818,26.35547437,15.09519681,21.59536284,13.38811963,15.8323744,9.385180209,20.11536229,11.2767145,27.80227276,18.10773411,5.370678035,15.92327725,14.1400175,13.29025669,4.238964129,17.84869741,5.032712079,2.469561234,15.71356238,7.195710302,12.39027474,13.38731082,6.312699562,14.33915922,21.26040448,18.49121758,12.60287163,14.79499884,6.379874786,10.85067152,6.034456669,13.94394122,20.71229859,3.764843547,2.240901705,15.41988372,42.27200556,7.823880222,7.906566477,34.15056775,7.473939705,18.38456599,17.20481853,8.547306498,17.8131054,15.87656811,13.03945882,9.661856214
32.12463822,28.88520584,26.82883275,46.24155952,27.8151201,19.44121316,21.25660315,24.99012384,25.94199414,36.77724866,10.88836539,34.2908492,38.76924934,19.57819216,37,28.77825347,16.63139725,22.29372732,13.03604249,18.07780569,28.65747369,21.46122693,8.799395309,36.24450803,15.47565389,65.40476831,30.83182242,25.90498039,37.63034165,71.11694614,34.49736659,20.35296415,22.29487603,32.45356317,48.87612355,34.34378282,37.32116705,28.46094187,17.83158474,53.17144556,17.32865057,7.105392395,28.05783933,29.9746316,47.65212229,27.75941723,27.50698192,24.17073442,24.99012384,20.65340383,32.08030875,18.66675192,36.77724866,29.67143873,13.57418263,28.59067575,16.00257329,32.91042285,36.91731233,27.22095265,15.05148037,34.2051642,23.23357342,16.37123871,24.14765934,20.19747629,17.24124149,34.24043446,31.71017886,31.73719162,23.30945575,33.64033106,14.42458115,55.02005137,24.13497769,23.29037521,27.41869721,6.058069193,6.939532633,24.60883499,46.13922794,14.02783518,15.98345561,43.3382945,19.05511377,30.32898717,25.94190354,26.7528393,29.61602348,25.56347416,33.19499856,34.20055459
60.29472566,68.6535824,67.54444102,43.42529018,71.43430717,79.02010447,78.1660927,73.08716861,72.89851533,60.44698989,89.11163461,62.18575081,59.85958821,79.30234716,55,69.85793554,42.83631613,77.03351952,54.58165259,46.27689975,52.61407893,65.75396219,90.43064506,49.92614822,82.90427683,33.68628054,65.90006003,73.23456788,58.84056485,24.3771559,58.03637837,74.60085118,76.71273457,61.33210818,41.58988814,55.15321595,48.99846679,69.16380715,69.43363997,41.46836503,79.5768853,92.82667604,60.2702006,66.65350557,37.05772965,54.50394628,71.36991879,68.5225091,73.08716861,72.90954534,64.86755975,54.16064304,60.44698989,57.63656928,86.11987085,55.01969664,54.8869426,65.04114539,42.16625783,68.98793792,45.73416673,28.74467096,59.25651299,49.59429506,69.26803089,55.89439388,77.72769461,58.4551197,55.20913838,64.61152844,74.39699187,61.6744815,51.66124728,42.12583672,48.83513247,59.43354757,72.53926433,55.00086828,34.86926931,73.81019757,45.98243525,83.71530088,51.10471044,45.19701321,63.37496912,60.60902179,64.71052343,48.16004815,62.12791014,66.02914678,47.30002161,44.18337668
